お届け予定時間,実際のお届け時間
10:46,13:23
住所,時間,動作
日本、〒158-0094 東京都世田谷区玉川３丁目３５ ｇｒｅｅｎｎｏｔｅ,10:18,開始
日本、〒158-0094 東京都世田谷区玉川３丁目３５ ｇｒｅｅｎｎｏｔｅ,10:46,集荷
日本、〒157-0068 東京都世田谷区宇奈根１丁目６−１,10:57,移動
日本、〒213-0004 神奈川県川崎市高津区諏訪２丁目１７−５,11:15,移動
日本、〒213-0032 神奈川県川崎市 府中街道,11:29,移動
日本、〒213-0032 神奈川県川崎市高津区久地１丁目４８−５,11:41,移動
日本、〒158-0081 東京都世田谷区深沢８丁目１８−１７,11:57,移動
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,12:17,交換
日本、〒154-0017 東京都世田谷区世田谷４丁目２２ 世田谷区役所分庁舎,12:25,移動
日本、〒154-0012 東京都世田谷区駒沢３丁目２６−８,12:40,移動
日本、〒154-0012 東京都世田谷区駒沢５丁目１１−６,12:55,移動
日本、〒158-0081 東京都世田谷区深沢２丁目６−１１,13:05,移動
日本、〒158-0082 東京都世田谷区 目黒通り,13:16,移動
日本、〒158-0082 東京都世田谷区 目黒通り,13:23,配達
