お届け予定時間,実際のお届け時間
8:39,11:50
住所,時間,動作
日本、〒166-0015 東京都杉並区成田東１丁目７−７ フラワーハイツ,8:00,開始
日本、〒166-0015 東京都杉並区成田東１丁目７−７ フラワーハイツ,8:39,集荷
日本、〒166-0015 東京都杉並区成田東４丁目１２−３,8:52,移動
日本、〒168-0065 東京都杉並区浜田山４丁目１４−２９,9:08,移動
日本、〒156-0056 東京都世田谷区八幡山２丁目８−５ （株）伸和運輸八幡山リサイクル工場,9:27,移動
日本、〒157-0071 東京都世田谷区千歳台６丁目１６−１２,9:36,移動
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,10:02,交換
日本、〒154-0004 東京都世田谷区太子堂３丁目２−２０,10:18,移動
日本、〒150-0033 東京都渋谷区猿楽町１６−１５ 代官山 T-SITE GARDEN,10:34,移動
日本、〒152-0003 東京都目黒区碑文谷１丁目９−２０ 松永木材（株）木材部・不動産部,10:55,移動
日本、〒152-0003 東京都目黒区碑文谷４丁目１９−２５ 区立第八中学校,11:06,移動
日本、〒145-0062 東京都大田区北千束１丁目６６−６,11:17,移動
日本、〒152-0031 東京都目黒区中根２丁目１８ ＣＯＳＭＯＴＯＲＩＴＳＵＤＡＩ,11:27,移動
日本、〒152-0023 東京都目黒区八雲３丁目１２−１０ パークビラ,11:35,移動
日本、〒158-0082 東京都世田谷区 目黒通り,11:43,移動
日本、〒152-0023 東京都目黒区八雲３丁目２８−１７,11:50,配達
