お届け予定時間,実際のお届け時間
9:08,11:13
住所,時間,動作
日本、〒168-0065 東京都杉並区浜田山４丁目１４−２９,8:00,開始
日本、〒168-0065 東京都杉並区浜田山４丁目１４−２９,9:08,集荷
日本、〒156-0056 東京都世田谷区八幡山２丁目８−５ （株）伸和運輸八幡山リサイクル工場,9:27,移動
日本、〒157-0071 東京都世田谷区千歳台６丁目１６−１２,9:36,移動
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,9:47,交換
日本、〒155-0033 東京都世田谷区代田３丁目３５−７ Ｖｅｒｍｅｉｌｌｅ,9:57,移動
日本、〒156-0043 東京都世田谷区松原５丁目７−４,10:07,移動
日本、〒155-0031 東京都世田谷区北沢１丁目３１−１６,10:24,移動
日本、〒155-0032 東京都世田谷区代沢１丁目２１−６ 寺島商事（株）,10:33,移動
日本、〒153-0041 東京都目黒区駒場４丁目６−１３,10:42,移動
日本、〒150-0047 東京都渋谷区 山手通り,10:52,移動
日本、〒153-0041 東京都目黒区駒場３丁目５−２１,11:01,移動
日本、〒153-0044 東京都目黒区大橋２丁目１８−５８,11:13,配達
