お届け予定時間,実際のお届け時間
14:18,16:13
住所,時間,動作
日本、〒142-0062 東京都品川区小山６丁目２０−１３,11:29,開始
日本、〒142-0062 東京都品川区小山６丁目２０−１３,14:18,集荷
日本、〒142-0064 東京都品川区旗の台６丁目１１−５,14:30,移動
日本、〒142-0064 東京都品川区旗の台６丁目１０−１９,14:35,移動
日本、〒152-0022 東京都目黒区柿の木坂１丁目２７−２,14:51,移動
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,14:52,交換
日本、〒154-0014 東京都世田谷区新町３丁目１０−１３ アルムＤ,15:07,移動
日本、〒156-0053 東京都世田谷区桜２丁目１０−９,15:19,移動
日本、〒156-0054 東京都世田谷区桜丘２丁目３−４,15:29,移動
日本、〒156-0054 東京都世田谷区桜丘４丁目２５−１７ ライオンズガーデン千歳船橋,15:40,移動
日本、〒157-0074 東京都世田谷区大蔵１丁目４−１ 中央卸売市場世田谷市場,15:50,移動
日本、〒157-0074 東京都世田谷区大蔵２丁目１−１５,15:58,移動
日本、〒157-0066 東京都世田谷区成城２丁目１３−３,16:13,配達
