お届け予定時間,実際のお届け時間
13:33,15:40
住所,時間,動作
日本、〒157-0072 東京都世田谷区祖師谷３丁目２６−１４,12:39,開始
日本、〒157-0072 東京都世田谷区祖師谷３丁目２６−１４,13:33,集荷
日本、〒157-0068 東京都世田谷区宇奈根２丁目１７−１１,13:52,移動
日本、〒157-0068 東京都世田谷区宇奈根１丁目３０−３ メゾンナイトウ,14:00,移動
日本、〒158-0095 東京都世田谷区瀬田４丁目３６−８,14:18,移動
日本、〒158-0097 東京都世田谷区用賀２丁目３８−１７ いすず荘,14:30,移動
日本、〒158-0097 東京都世田谷区用賀３丁目９−１２,14:37,移動
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,15:01,交換
日本、〒155-0033 東京都世田谷区 環七通り,15:13,移動
日本、〒155-0033 東京都世田谷区代田２丁目３６−１９ ラプレ下北沢,15:21,移動
日本、〒155-0033 東京都世田谷区代田５丁目２２−１３,15:28,移動
日本、〒156-0041 東京都世田谷区大原２丁目２６−２０ ハイツ代田橋,15:40,配達
