お届け予定時間,実際のお届け時間
10:15,13:07
住所,時間,動作
日本、〒157-0073 東京都世田谷区砧８丁目４−８,8:46,開始
日本、〒157-0073 東京都世田谷区砧８丁目４−８,10:15,集荷
日本、〒157-0076 東京都世田谷区岡本３丁目２６−６,10:29,移動
日本、〒157-0077 東京都世田谷区鎌田３丁目３３−１１,10:36,移動
日本、〒158-0094 東京都世田谷区玉川３丁目３５ ｇｒｅｅｎｎｏｔｅ,10:46,移動
日本、〒157-0068 東京都世田谷区宇奈根１丁目６−１,10:57,移動
日本、〒213-0004 神奈川県川崎市高津区諏訪２丁目１７−５,11:15,移動
日本、〒213-0032 神奈川県川崎市 府中街道,11:29,移動
日本、〒213-0032 神奈川県川崎市高津区久地１丁目４８−５,11:41,移動
日本、〒158-0081 東京都世田谷区深沢８丁目１８−１７,11:57,移動
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,12:25,交換
日本、〒155-0033 東京都世田谷区代田４丁目２１−９,12:37,移動
日本、〒156-0043 東京都世田谷区松原１丁目４９−９,12:47,移動
日本、〒156-0041 東京都世田谷区大原２丁目１２−８,12:58,移動
日本、〒156-0041 東京都世田谷区大原２丁目１９−６,13:07,配達
