お届け予定時間,実際のお届け時間
8:53,12:40
住所,時間,動作
日本、〒150-0032 東京都渋谷区鶯谷町１９−９,8:12,開始
日本、〒150-0032 東京都渋谷区鶯谷町１９−９,8:53,集荷
日本、〒155-0031 東京都世田谷区北沢２丁目１０−１８,9:13,移動
日本、〒155-0031 東京都世田谷区北沢３丁目３３ オーシャンフラット,9:24,移動
日本、〒155-0031 東京都世田谷区北沢５丁目２−３ ハイツペアレンツ,9:34,移動
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,10:02,交換
日本、〒154-0004 東京都世田谷区太子堂３丁目２−２０,10:18,移動
日本、〒150-0033 東京都渋谷区猿楽町１６−１５ 代官山 T-SITE GARDEN,10:34,移動
日本、〒152-0003 東京都目黒区碑文谷１丁目９−２０ 松永木材（株）木材部・不動産部,10:55,移動
日本、〒152-0003 東京都目黒区碑文谷４丁目１９−２５ 区立第八中学校,11:06,移動
日本、〒145-0062 東京都大田区北千束１丁目６６−６,11:17,移動
日本、〒152-0031 東京都目黒区中根２丁目１８ ＣＯＳＭＯＴＯＲＩＴＳＵＤＡＩ,11:27,移動
日本、〒152-0023 東京都目黒区八雲３丁目１２−１０ パークビラ,11:35,移動
日本、〒158-0082 東京都世田谷区 目黒通り,11:43,移動
日本、〒152-0023 東京都目黒区八雲３丁目２８−１７,11:50,移動
日本、〒158-0083 東京都世田谷区奥沢７丁目１３−７,11:58,移動
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,12:17,交換
日本、〒154-0017 東京都世田谷区世田谷４丁目２２ 世田谷区役所分庁舎,12:25,移動
日本、〒154-0012 東京都世田谷区駒沢３丁目２６−８,12:40,配達
