お届け予定時間,実際のお届け時間
10:28,13:05
住所,時間,動作
日本、〒156-0045 東京都世田谷区桜上水１丁目２８−１５,10:07,開始
日本、〒156-0045 東京都世田谷区桜上水１丁目２８−１５,10:28,集荷
日本、〒156-0055 東京都世田谷区船橋４丁目２４−１２,10:40,移動
日本、〒157-0071 東京都世田谷区千歳台４丁目７−１１,10:51,移動
日本、〒157-0071 東京都世田谷区千歳台５丁目４−２,10:58,移動
日本、〒168-0072 東京都杉並区高井戸東４丁目８−４ 東日紙商（株）高井戸支店,11:17,移動
日本、〒166-0016 東京都杉並区成田西２丁目６−５,11:28,移動
日本、〒168-0065 東京都杉並区浜田山３丁目２４ Ｒｅｌｉｅｆ浜田山,11:39,移動
日本、〒166-0015 東京都杉並区成田東５丁目２７−２,11:54,移動
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,12:17,交換
日本、〒154-0017 東京都世田谷区世田谷４丁目２２ 世田谷区役所分庁舎,12:25,移動
日本、〒154-0012 東京都世田谷区駒沢３丁目２６−８,12:40,移動
日本、〒154-0012 東京都世田谷区駒沢５丁目１１−６,12:55,移動
日本、〒158-0081 東京都世田谷区深沢２丁目６−１１,13:05,配達
