お届け予定時間,実際のお届け時間
12:49,16:01
住所,時間,動作
日本、〒156-0052 東京都世田谷区経堂４丁目４１−２,11:35,開始
日本、〒156-0052 東京都世田谷区経堂４丁目４１−２,12:49,集荷
日本、〒157-0071 東京都世田谷区千歳台１丁目２１−７,13:02,移動
日本、〒156-0054 東京都世田谷区 環八通り,13:12,移動
日本、〒157-0073 東京都世田谷区砧１丁目２１−２５,13:20,移動
日本、〒157-0072 東京都世田谷区祖師谷３丁目２６−１４,13:33,移動
日本、〒157-0068 東京都世田谷区宇奈根２丁目１７−１１,13:52,移動
日本、〒157-0068 東京都世田谷区宇奈根１丁目３０−３ メゾンナイトウ,14:00,移動
日本、〒158-0095 東京都世田谷区瀬田４丁目３６−８,14:18,移動
日本、〒158-0097 東京都世田谷区用賀２丁目３８−１７ いすず荘,14:30,移動
日本、〒158-0097 東京都世田谷区用賀３丁目９−１２,14:37,移動
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,15:06,交換
日本、〒152-0021 東京都目黒区東が丘２丁目１０ ホガース東が丘,15:24,移動
日本、〒152-0021 東京都目黒区東が丘２丁目１５−９,15:33,移動
日本、〒152-0021 東京都目黒区東が丘１丁目５−１６,15:43,移動
日本、〒152-0023 東京都目黒区八雲１丁目３ 大沢歯科医院,15:54,移動
日本、〒152-0023 東京都目黒区八雲１丁目１−２,16:01,配達
