お届け予定時間,実際のお届け時間
8:12,10:24
住所,時間,動作
日本、〒157-0068 東京都世田谷区宇奈根３丁目１４−５,8:00,開始
日本、〒157-0068 東京都世田谷区宇奈根３丁目１４−５,8:12,集荷
日本、〒157-0077 東京都世田谷区鎌田１丁目１５−１,8:23,移動
日本、神奈川県川崎市 厚木街道,8:41,移動
日本、〒154-0014 東京都世田谷区新町２丁目２４−９ 東京急行電鉄（株）桜新町変電所,8:54,移動
日本、〒158-0098 東京都世田谷区上用賀１丁目１１−２ 清水方アパート,9:07,移動
日本、〒156-0053 東京都世田谷区桜３丁目２４−１,9:20,移動
日本、〒156-0054 東京都世田谷区桜丘１丁目４−６,9:28,移動
日本、〒156-0053 東京都世田谷区桜１丁目６４−９,9:38,移動
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,9:47,交換
日本、〒155-0033 東京都世田谷区代田３丁目３５−７ Ｖｅｒｍｅｉｌｌｅ,9:57,移動
日本、〒156-0043 東京都世田谷区松原５丁目７−４,10:07,移動
日本、〒155-0031 東京都世田谷区北沢１丁目３１−１６,10:24,配達
