お届け予定時間,実際のお届け時間
14:06,16:42
住所,時間,動作
日本、〒145-0064 東京都大田区上池台１丁目１４−１８ ケミトックスＮｏ．１ビル,13:23,開始
日本、〒145-0064 東京都大田区上池台１丁目１４−１８ ケミトックスＮｏ．１ビル,14:06,集荷
日本、〒142-0062 東京都品川区小山６丁目２０−１３,14:18,移動
日本、〒142-0064 東京都品川区旗の台６丁目１１−５,14:30,移動
日本、〒142-0064 東京都品川区旗の台６丁目１０−１９,14:35,移動
日本、〒152-0022 東京都目黒区柿の木坂１丁目２７−２,14:51,移動
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,15:09,交換
日本、〒156-0051 東京都世田谷区宮坂３丁目１７−１２,15:25,移動
日本、〒156-0045 東京都世田谷区桜上水２丁目１５−１３,15:37,移動
日本、〒156-0057 東京都世田谷区 国道20号線,15:50,移動
日本、〒168-0074 東京都杉並区 中央自動車道(均一区間),15:59,移動
日本、〒156-0056 東京都世田谷区八幡山２丁目２０−１５,16:08,移動
日本、〒168-0072 東京都杉並区高井戸東１丁目１０−２０,16:23,移動
日本、〒168-0072 東京都杉並区高井戸東１丁目１−３０,16:29,移動
日本、〒168-0073 東京都杉並区下高井戸４丁目２４−６,16:42,配達
