お届け予定時間,実際のお届け時間
13:14,15:28
住所,時間,動作
日本、〒168-0061 東京都杉並区大宮２丁目１０−２４ 大栄マンション,11:46,開始
日本、〒168-0061 東京都杉並区大宮２丁目１０−２４ 大栄マンション,13:14,集荷
日本、〒166-0016 東京都杉並区成田西３丁目４−１ 区立杉並第二小学校,13:27,移動
日本、〒166-0015 東京都杉並区成田東３丁目１０−１２,13:36,移動
日本、〒166-0013 東京都杉並区堀ノ内３丁目３０ 新高円寺ハイツ,13:47,移動
日本、〒166-0011 東京都杉並区 青梅街道,13:55,移動
日本、〒166-0016 東京都杉並区成田西３丁目８−１６,14:06,移動
日本、〒168-0071 東京都杉並区高井戸西２丁目１２−２４,14:21,移動
日本、〒168-0081 東京都杉並区宮前５丁目２１−１１,14:33,移動
日本、〒168-0081 東京都杉並区宮前３丁目３１ サンホワイト西荻,14:44,移動
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,15:01,交換
日本、〒155-0033 東京都世田谷区 環七通り,15:13,移動
日本、〒155-0033 東京都世田谷区代田２丁目３６−１９ ラプレ下北沢,15:21,移動
日本、〒155-0033 東京都世田谷区代田５丁目２２−１３,15:28,配達
