お届け予定時間,実際のお届け時間
10:33,13:36
住所,時間,動作
日本、〒155-0032 東京都世田谷区代沢１丁目２１−６ 寺島商事（株）,9:08,開始
日本、〒155-0032 東京都世田谷区代沢１丁目２１−６ 寺島商事（株）,10:33,集荷
日本、〒153-0041 東京都目黒区駒場４丁目６−１３,10:42,移動
日本、〒150-0047 東京都渋谷区 山手通り,10:52,移動
日本、〒153-0041 東京都目黒区駒場３丁目５−２１,11:01,移動
日本、〒153-0044 東京都目黒区大橋２丁目１８−５８,11:13,移動
日本、〒150-0041 東京都渋谷区神南１丁目１５−３ 神南プラザビル,11:28,移動
日本、〒151-0066 東京都渋谷区西原２丁目２４−１１,11:46,移動
日本、〒151-0066 東京都渋谷区西原２丁目４０−１１,11:52,移動
日本、〒151-0071 東京都渋谷区本町５丁目３０−１２,12:04,移動
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,12:20,交換
日本、〒156-0055 東京都世田谷区船橋３丁目８−１５ 中部電力（株）千歳船橋アパート,12:39,移動
日本、〒168-0073 東京都杉並区下高井戸３丁目７−９,13:00,移動
日本、〒168-0061 東京都杉並区大宮２丁目１０−２４ 大栄マンション,13:14,移動
日本、〒166-0016 東京都杉並区成田西３丁目４−１ 区立杉並第二小学校,13:27,移動
日本、〒166-0015 東京都杉並区成田東３丁目１０−１２,13:36,配達
