お届け予定時間,実際のお届け時間
12:26,14:30
住所,時間,動作
日本、〒156-0054 東京都世田谷区桜丘１丁目１５−４,11:43,開始
日本、〒156-0054 東京都世田谷区桜丘１丁目１５−４,12:26,集荷
日本、〒156-0054 東京都世田谷区桜丘３丁目１４−１,12:37,移動
日本、〒156-0052 東京都世田谷区経堂４丁目４１−２,12:49,移動
日本、〒157-0071 東京都世田谷区千歳台１丁目２１−７,13:02,移動
日本、〒156-0054 東京都世田谷区 環八通り,13:12,移動
日本、〒157-0073 東京都世田谷区砧１丁目２１−２５,13:20,移動
日本、〒157-0072 東京都世田谷区祖師谷３丁目２６−１４,13:33,移動
日本、〒157-0068 東京都世田谷区宇奈根２丁目１７−１１,13:52,移動
日本、〒157-0068 東京都世田谷区宇奈根１丁目３０−３ メゾンナイトウ,14:00,移動
日本、〒158-0095 東京都世田谷区瀬田４丁目３６−８,14:18,移動
日本、〒158-0097 東京都世田谷区用賀２丁目３８−１７ いすず荘,14:30,配達
