お届け予定時間,実際のお届け時間
9:56,14:21
住所,時間,動作
日本、〒156-0051 東京都世田谷区宮坂１丁目１７−９,8:00,開始
日本、〒156-0051 東京都世田谷区宮坂１丁目１７−９,9:56,集荷
日本、〒157-0073 東京都世田谷区砧８丁目４−８,10:15,移動
日本、〒157-0076 東京都世田谷区岡本３丁目２６−６,10:29,移動
日本、〒157-0077 東京都世田谷区鎌田３丁目３３−１１,10:36,移動
日本、〒158-0094 東京都世田谷区玉川３丁目３５ ｇｒｅｅｎｎｏｔｅ,10:46,移動
日本、〒157-0068 東京都世田谷区宇奈根１丁目６−１,10:57,移動
日本、〒213-0004 神奈川県川崎市高津区諏訪２丁目１７−５,11:15,移動
日本、〒213-0032 神奈川県川崎市 府中街道,11:29,移動
日本、〒213-0032 神奈川県川崎市高津区久地１丁目４８−５,11:41,移動
日本、〒158-0081 東京都世田谷区深沢８丁目１８−１７,11:57,移動
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,12:20,交換
日本、〒156-0055 東京都世田谷区船橋３丁目８−１５ 中部電力（株）千歳船橋アパート,12:39,移動
日本、〒168-0073 東京都杉並区下高井戸３丁目７−９,13:00,移動
日本、〒168-0061 東京都杉並区大宮２丁目１０−２４ 大栄マンション,13:14,移動
日本、〒166-0016 東京都杉並区成田西３丁目４−１ 区立杉並第二小学校,13:27,移動
日本、〒166-0015 東京都杉並区成田東３丁目１０−１２,13:36,移動
日本、〒166-0013 東京都杉並区堀ノ内３丁目３０ 新高円寺ハイツ,13:47,移動
日本、〒166-0011 東京都杉並区 青梅街道,13:55,移動
日本、〒166-0016 東京都杉並区成田西３丁目８−１６,14:06,移動
日本、〒168-0071 東京都杉並区高井戸西２丁目１２−２４,14:21,配達
