お届け予定時間,実際のお届け時間
10:58,16:41
住所,時間,動作
日本、〒157-0071 東京都世田谷区千歳台５丁目４−２,9:38,開始
日本、〒157-0071 東京都世田谷区千歳台５丁目４−２,10:58,集荷
日本、〒168-0072 東京都杉並区高井戸東４丁目８−４ 東日紙商（株）高井戸支店,11:17,移動
日本、〒166-0016 東京都杉並区成田西２丁目６−５,11:28,移動
日本、〒168-0065 東京都杉並区浜田山３丁目２４ Ｒｅｌｉｅｆ浜田山,11:39,移動
日本、〒166-0015 東京都杉並区成田東５丁目２７−２,11:54,移動
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,12:25,交換
日本、〒155-0033 東京都世田谷区代田４丁目２１−９,12:37,移動
日本、〒156-0043 東京都世田谷区松原１丁目４９−９,12:47,移動
日本、〒156-0041 東京都世田谷区大原２丁目１２−８,12:58,移動
日本、〒156-0041 東京都世田谷区大原２丁目１９−６,13:07,移動
日本、〒151-0073 東京都渋谷区笹塚３丁目５２−１４ グリーンハウス,13:18,移動
日本、〒164-0014 東京都中野区南台４丁目３８−７,13:26,移動
日本、〒151-0072 東京都渋谷区幡ヶ谷３丁目２１−５,13:37,移動
日本、〒151-0071 東京都渋谷区本町１丁目２２ 春本荘,13:46,移動
日本、〒151-0071 東京都渋谷区本町６丁目８−５,13:54,移動
日本、〒151-0071 東京都渋谷区本町２丁目１２−１,14:02,移動
日本、〒164-0013 東京都中野区弥生町３丁目２０−１１ 川辺洋品店,14:16,移動
日本、〒164-0013 東京都中野区弥生町４丁目２５−７ サンローゼ清水,14:25,移動
日本、〒166-0012 東京都杉並区和田１丁目８−１１,14:35,移動
日本、〒164-0013 東京都中野区弥生町６丁目２−２０ 弥生ハイツ,14:43,移動
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,15:01,交換
日本、〒155-0033 東京都世田谷区 環七通り,15:13,移動
日本、〒155-0033 東京都世田谷区代田２丁目３６−１９ ラプレ下北沢,15:21,移動
日本、〒155-0033 東京都世田谷区代田５丁目２２−１３,15:28,移動
日本、〒156-0041 東京都世田谷区大原２丁目２６−２０ ハイツ代田橋,15:40,移動
日本、〒168-0063 東京都杉並区和泉２丁目２７−１４ アーバンハウス和泉,15:48,移動
日本、〒168-0063 東京都杉並区和泉２丁目３８−１９,15:57,移動
日本、〒156-0041 東京都世田谷区大原１丁目６０−９ 光和木材（有）,16:07,移動
日本、〒151-0061 東京都渋谷区初台１丁目４７−１ 小田急西新宿ビル,16:21,移動
日本、〒151-0066 東京都渋谷区西原１丁目１６−９ シティハウス西原,16:29,移動
日本、〒151-0064 東京都渋谷区上原１丁目４４−２,16:41,配達
