お届け予定時間,実際のお届け時間
8:41,11:35
住所,時間,動作
日本、神奈川県川崎市 厚木街道,8:00,開始
日本、神奈川県川崎市 厚木街道,8:41,集荷
日本、〒154-0014 東京都世田谷区新町２丁目２４−９ 東京急行電鉄（株）桜新町変電所,8:54,移動
日本、〒158-0098 東京都世田谷区上用賀１丁目１１−２ 清水方アパート,9:07,移動
日本、〒156-0053 東京都世田谷区桜３丁目２４−１,9:20,移動
日本、〒156-0054 東京都世田谷区桜丘１丁目４−６,9:28,移動
日本、〒156-0053 東京都世田谷区桜１丁目６４−９,9:38,移動
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,10:02,交換
日本、〒154-0004 東京都世田谷区太子堂３丁目２−２０,10:18,移動
日本、〒150-0033 東京都渋谷区猿楽町１６−１５ 代官山 T-SITE GARDEN,10:34,移動
日本、〒152-0003 東京都目黒区碑文谷１丁目９−２０ 松永木材（株）木材部・不動産部,10:55,移動
日本、〒152-0003 東京都目黒区碑文谷４丁目１９−２５ 区立第八中学校,11:06,移動
日本、〒145-0062 東京都大田区北千束１丁目６６−６,11:17,移動
日本、〒152-0031 東京都目黒区中根２丁目１８ ＣＯＳＭＯＴＯＲＩＴＳＵＤＡＩ,11:27,移動
日本、〒152-0023 東京都目黒区八雲３丁目１２−１０ パークビラ,11:35,配達
