お届け予定時間,実際のお届け時間
11:28,15:33
住所,時間,動作
日本、〒166-0016 東京都杉並区成田西２丁目６−５,11:01,開始
日本、〒166-0016 東京都杉並区成田西２丁目６−５,11:28,集荷
日本、〒168-0065 東京都杉並区浜田山３丁目２４ Ｒｅｌｉｅｆ浜田山,11:39,移動
日本、〒166-0015 東京都杉並区成田東５丁目２７−２,11:54,移動
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,12:17,交換
日本、〒154-0017 東京都世田谷区世田谷４丁目２２ 世田谷区役所分庁舎,12:25,移動
日本、〒154-0012 東京都世田谷区駒沢３丁目２６−８,12:40,移動
日本、〒154-0012 東京都世田谷区駒沢５丁目１１−６,12:55,移動
日本、〒158-0081 東京都世田谷区深沢２丁目６−１１,13:05,移動
日本、〒158-0082 東京都世田谷区 目黒通り,13:16,移動
日本、〒158-0082 東京都世田谷区 目黒通り,13:23,移動
日本、〒152-0035 東京都目黒区自由が丘１丁目３０−３ 自由が丘東急ビル,13:36,移動
日本、〒158-0083 東京都世田谷区奥沢２丁目４５−２０,13:46,移動
日本、〒145-0062 東京都大田区北千束２丁目５１−１０,13:57,移動
日本、〒145-0064 東京都大田区上池台１丁目１４−１８ ケミトックスＮｏ．１ビル,14:06,移動
日本、〒142-0062 東京都品川区小山６丁目２０−１３,14:18,移動
日本、〒142-0064 東京都品川区旗の台６丁目１１−５,14:30,移動
日本、〒142-0064 東京都品川区旗の台６丁目１０−１９,14:35,移動
日本、〒152-0022 東京都目黒区柿の木坂１丁目２７−２,14:51,移動
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,15:06,交換
日本、〒152-0021 東京都目黒区東が丘２丁目１０ ホガース東が丘,15:24,移動
日本、〒152-0021 東京都目黒区東が丘２丁目１５−９,15:33,配達
