お届け予定時間,実際のお届け時間
8:53,13:26
住所,時間,動作
日本、〒158-0081 東京都世田谷区深沢６丁目２３−２２,8:00,開始
日本、〒158-0081 東京都世田谷区深沢６丁目２３−２２,8:53,集荷
日本、〒154-0005 東京都世田谷区三宿１丁目８ 第２正和ハイツ,9:14,移動
日本、〒154-0002 東京都世田谷区下馬１丁目２０ アミ,9:27,移動
日本、〒152-0011 東京都目黒区原町２丁目１２−１０,9:45,移動
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,9:47,交換
日本、〒155-0033 東京都世田谷区代田３丁目３５−７ Ｖｅｒｍｅｉｌｌｅ,9:57,移動
日本、〒156-0043 東京都世田谷区松原５丁目７−４,10:07,移動
日本、〒155-0031 東京都世田谷区北沢１丁目３１−１６,10:24,移動
日本、〒155-0032 東京都世田谷区代沢１丁目２１−６ 寺島商事（株）,10:33,移動
日本、〒153-0041 東京都目黒区駒場４丁目６−１３,10:42,移動
日本、〒150-0047 東京都渋谷区 山手通り,10:52,移動
日本、〒153-0041 東京都目黒区駒場３丁目５−２１,11:01,移動
日本、〒153-0044 東京都目黒区大橋２丁目１８−５８,11:13,移動
日本、〒150-0041 東京都渋谷区神南１丁目１５−３ 神南プラザビル,11:28,移動
日本、〒151-0066 東京都渋谷区西原２丁目２４−１１,11:46,移動
日本、〒151-0066 東京都渋谷区西原２丁目４０−１１,11:52,移動
日本、〒151-0071 東京都渋谷区本町５丁目３０−１２,12:04,移動
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,12:25,交換
日本、〒155-0033 東京都世田谷区代田４丁目２１−９,12:37,移動
日本、〒156-0043 東京都世田谷区松原１丁目４９−９,12:47,移動
日本、〒156-0041 東京都世田谷区大原２丁目１２−８,12:58,移動
日本、〒156-0041 東京都世田谷区大原２丁目１９−６,13:07,移動
日本、〒151-0073 東京都渋谷区笹塚３丁目５２−１４ グリーンハウス,13:18,移動
日本、〒164-0014 東京都中野区南台４丁目３８−７,13:26,配達
