お届け予定時間,実際のお届け時間
11:17,13:20
住所,時間,動作
日本、〒145-0062 東京都大田区北千束１丁目６６−６,10:24,開始
日本、〒145-0062 東京都大田区北千束１丁目６６−６,11:17,集荷
日本、〒152-0031 東京都目黒区中根２丁目１８ ＣＯＳＭＯＴＯＲＩＴＳＵＤＡＩ,11:27,移動
日本、〒152-0023 東京都目黒区八雲３丁目１２−１０ パークビラ,11:35,移動
日本、〒158-0082 東京都世田谷区 目黒通り,11:43,移動
日本、〒152-0023 東京都目黒区八雲３丁目２８−１７,11:50,移動
日本、〒158-0083 東京都世田谷区奥沢７丁目１３−７,11:58,移動
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,12:11,交換
日本、〒156-0054 東京都世田谷区桜丘１丁目１５−４,12:26,移動
日本、〒156-0054 東京都世田谷区桜丘３丁目１４−１,12:37,移動
日本、〒156-0052 東京都世田谷区経堂４丁目４１−２,12:49,移動
日本、〒157-0071 東京都世田谷区千歳台１丁目２１−７,13:02,移動
日本、〒156-0054 東京都世田谷区 環八通り,13:12,移動
日本、〒157-0073 東京都世田谷区砧１丁目２１−２５,13:20,配達
