お届け予定時間,実際のお届け時間
13:18,16:39
住所,時間,動作
日本、〒151-0073 東京都渋谷区笹塚３丁目５２−１４ グリーンハウス,9:27,開始
日本、〒151-0073 東京都渋谷区笹塚３丁目５２−１４ グリーンハウス,13:18,集荷
日本、〒164-0014 東京都中野区南台４丁目３８−７,13:26,移動
日本、〒151-0072 東京都渋谷区幡ヶ谷３丁目２１−５,13:37,移動
日本、〒151-0071 東京都渋谷区本町１丁目２２ 春本荘,13:46,移動
日本、〒151-0071 東京都渋谷区本町６丁目８−５,13:54,移動
日本、〒151-0071 東京都渋谷区本町２丁目１２−１,14:02,移動
日本、〒164-0013 東京都中野区弥生町３丁目２０−１１ 川辺洋品店,14:16,移動
日本、〒164-0013 東京都中野区弥生町４丁目２５−７ サンローゼ清水,14:25,移動
日本、〒166-0012 東京都杉並区和田１丁目８−１１,14:35,移動
日本、〒164-0013 東京都中野区弥生町６丁目２−２０ 弥生ハイツ,14:43,移動
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,14:52,交換
日本、〒154-0014 東京都世田谷区新町３丁目１０−１３ アルムＤ,15:07,移動
日本、〒156-0053 東京都世田谷区桜２丁目１０−９,15:19,移動
日本、〒156-0054 東京都世田谷区桜丘２丁目３−４,15:29,移動
日本、〒156-0054 東京都世田谷区桜丘４丁目２５−１７ ライオンズガーデン千歳船橋,15:40,移動
日本、〒157-0074 東京都世田谷区大蔵１丁目４−１ 中央卸売市場世田谷市場,15:50,移動
日本、〒157-0074 東京都世田谷区大蔵２丁目１−１５,15:58,移動
日本、〒157-0066 東京都世田谷区成城２丁目１３−３,16:13,移動
日本、〒157-0076 東京都世田谷区岡本２丁目１７−１７,16:28,移動
日本、〒157-0077 東京都世田谷区鎌田１丁目２０−２,16:39,配達
